"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",9.7,4.4,10.4,4.8,6.7,4.3,6.9,4.5,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",1.8,3.0,10.8,6.9,13.5,8.6,8.3,6.6,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",11.3,4.6,7.8,3.7,9.0,3.8,9.8,4.5,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",4.0,.9,4.6,1.0,4.3,1.0,4.3,1.0,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",5.2,7.7,3.9,6.8,6.7,9.8,7.1,7.4,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",11.7,5.1,11.9,4.9,7.3,3.9,3.8,2.9,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",6.9,3.7,5.0,3.2,7.6,4.0,5.7,3.4,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",6.9,3.6,9.2,4.1,7.1,3.6,10.3,4.6,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",8.4,2.8,6.4,2.6,8.0,2.9,5.4,2.4,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",4.0,2.2,5.6,2.7,5.3,2.6,5.1,2.4,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",5.3,3.9,7.2,4.4,5.8,3.9,11.2,5.5,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",5.6,2.6,4.1,2.3,4.7,2.4,3.2,1.9,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",3.5,1.6,4.6,2.0,4.7,2.0,4.3,1.9,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",6.5,4.8,8.0,5.2,8.9,5.9,4.6,4.3,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",7.6,5.6,13.6,7.5,10.7,7.2,7.1,5.0,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",5.5,2.7,3.7,2.3,5.5,2.9,3.3,2.3,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",6.9,5.4,4.0,4.1,9.1,6.4,3.0,4.5,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",3.7,2.6,5.9,3.8,5.1,3.7,2.7,2.4,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",8.1,3.8,7.6,3.7,10.6,4.4,9.1,4.2,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",6.5,4.1,4.4,3.4,5.3,3.8,3.6,3.3,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",9.3,4.3,13.1,5.1,9.0,4.1,8.9,4.3,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",5.5,2.7,7.0,3.0,7.0,3.4,3.8,2.4,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",3.9,1.9,4.7,2.1,3.3,1.8,3.3,1.8,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",2.5,2.5,2.0,2.2,3.7,3.0,6.3,3.6,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",3.9,2.2,3.3,2.1,4.6,2.3,5.6,2.6,,,,,,,,,,
,"Syracuse, NY………………………………………….",17.9,13.2,5.0,6.5,11.8,8.1,11.8,9.8,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",11.8,4.6,12.0,4.4,10.0,4.3,8.8,4.1,,,,,,,,,,
**,"Toledo, OH………………………………………………..",18.1,13.8,7.4,10.6,4.3,7.1,10.6,8.7,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",5.0,4.3,8.1,5.9,10.0,7.0,6.8,5.5,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",7.0,5.3,8.6,5.4,10.3,5.9,7.9,5.2,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",5.9,2.7,6.0,2.7,6.0,2.7,4.6,2.4,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",8.5,5.5,6.2,4.1,6.5,4.5,7.3,5.0,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",5.9,2.4,6.1,2.4,5.1,2.2,5.2,2.3,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",4.5,4.4,4.7,4.6,1.1,2.2,0.4,1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2018,Margin of Error1,Second         Quarter       2018,Margin of Error1,Third         Quarter       2018,Margin of Error1,Fourth         Quarter       2018,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",2.3,4.9,5.7,6.7,4.3,5.5,1.3,2.7,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",9.0,6.7,11.7,7.7,10.3,8.1,12.0,7.6,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",10.7,4.2,8.7,3.7,6.6,3.3,5.5,3.0,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",7.4,7.9,4.3,6.6,3.5,5.9,7.0,7.2,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",8.3,3.0,5.4,2.3,6.1,2.5,6.9,2.5,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",8.7,4.3,6.9,3.8,5.7,3.5,6.8,4.0,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",6.8,3.7,9.9,4.2,10.4,4.5,10.2,4.2,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",7.5,5.0,8.4,5.2,7.5,4.8,7.1,4.4,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",11.9,5.0,13.5,5.9,11.6,5.4,10.7,5.1,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",5.2,2.0,3.3,1.7,3.8,1.8,2.9,1.5,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",14.5,8.2,9.5,6.3,3.4,3.7,6.8,5.1,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",10.1,7.0,4.9,4.5,6.5,5.1,6.8,5.3,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",10.7,11.2,6.0,9.0,1.4,4.3,5.0,8.5,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",18.8,9.4,16.6,9.1,18.6,9.2,14.2,8.2,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",4.0,3.1,6.2,3.9,5.8,3.8,6.8,4.5,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",9.0,2.3,6.9,1.9,5.9,1.8,6.4,1.9,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",3.4,3.0,2.4,2.7,4.8,3.7,6.7,4.3,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",4.9,3.6,7.1,3.9,7.4,4.4,8.4,4.6,,,,,,,,,,
,"Columbia, SC………………………………………….",7.9,6.1,11.8,8.8,8.6,6.5,9.9,6.3,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",9.8,5.0,11.9,5.4,5.4,3.7,7.3,4.5,,,,,,,,,,
