"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",72.6,6.4,71.0,6.2,70.0,6.6,68.4,6.6,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",59.9,4.7,58.5,4.6,59.0,4.6,58.9,4.6,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",66.3,7.2,57.0,7.3,61.9,7.2,66.7,6.9,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",63.9,3.8,64.3,3.8,65.4,3.7,65.2,3.8,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",64.0,8.0,67.5,7.5,65.0,7.6,54.7,7.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2018,Margin of Error1,Second         Quarter       2018,Margin of Error1,Third         Quarter       2018,Margin of Error1,Fourth         Quarter       2018,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",73.1,9.6,69.3,9.7,64.4,10.0,56.8,9.9,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",58.2,10.0,63.1,9.6,68.5,9.3,58.8,10.1,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",70.7,4.6,67.0,4.7,66.3,4.7,67.7,4.6,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",71.7,9.6,74.8,9.3,74.3,9.1,67.8,9.8,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",67.4,3.8,62.3,3.9,64.9,3.9,61.3,4.0,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",56.1,6.8,55.1,6.7,54.0,6.8,59.3,6.7,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",65.2,5.4,61.7,5.6,64.5,5.7,62.5,5.5,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",68.8,6.5,68.7,6.5,66.6,6.6,62.3,6.8,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",61.2,6.4,69.6,6.1,67.4,6.2,65.3,6.4,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",59.4,3.7,63.1,3.6,62.2,3.6,59.3,3.6,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",67.4,8.7,61.8,8.6,59.1,8.3,58.0,8.5,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",65.9,8.5,61.8,8.1,62.7,8.0,62.5,8.3,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",76.9,10.0,75.3,10.6,72.3,10.9,75.9,10.8,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",71.1,8.3,70.9,8.6,66.2,9.1,66.9,8.9,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",64.6,5.9,67.5,5.7,67.2,5.7,72.3,5.6,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",67.1,2.9,64.3,2.9,62.6,2.9,64.7,2.9,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",65.9,6.0,69.1,5.9,65.9,6.1,68.3,6.0,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",64.8,6.1,64.4,5.8,69.5,5.6,68.2,5.8,,,,,,,,,,
,"Columbia, SC………………………………………….",67.4,7.9,76.9,7.5,69.3,8.0,64.4,8.0,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",64.1,6.4,62.9,6.7,62.9,6.3,68.9,5.8,,,,,,,,,,
