RegionID,RegionName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
394871,"Portland, ME",319727,320283,320280,322662,322878,324458,324103,325394,325599,328009,329727,331301,331730,334085,336132,337373,340166,342615,346629,349644,353808,357148,361189,365619,371176,375971
394997,"Durham, NC",303514,303379,303286,304543,306370,308757,311217,312799,314207,315624,317087,317840,319359,322101,325519,329100,331506,333452,335334,338458,342312,346810,351494,356942,362402,366946
394549,"Santa Rosa, CA",263425,264541,265427,266355,267603,268730,269542,270586,271706,272972,273609,274359,275037,275758,276374,277115,278273,279621,281225,283008,284950,287084,289874,292848,296171,299911
395068,"Lexington, KY",657682,649305,645568,645271,650133,656136,658918,658387,653734,651746,647477,645590,651053,659214,664786,665614,664235,662514,662852,666567,674503,682681,692308,699810,702982,704121
394792,"Lafayette, LA",186902,188204,188935,189537,190168,190945,191586,192325,192801,193426,193956,194711,195319,195891,196702,197646,198863,200038,201220,202564,204323,206325,208799,211126,213574,215962
394761,"Lansing, MI",154743,154787,154672,155022,155624,156338,156695,157186,157484,157592,157456,157566,158090,158691,159255,159396,159634,159774,160257,160773,161608,162659,163753,164586,165201,166078
394770,"Fayetteville, AR",159772,160546,161305,162031,162659,163137,163306,163634,164321,165365,166128,166767,167357,168052,168639,169348,170149,171044,172319,173744,175245,176741,178379,180012,181761,183617
394590,"Pensacola, FL",187040,187394,188156,189148,190318,191055,192078,192910,193720,194333,195064,195898,196958,197632,198173,198727,199683,201186,202865,204913,207048,209459,212090,214951,218167,221943
394971,"Visalia, CA",182135,182676,182718,182803,183435,184288,185546,186719,187747,188417,188874,189398,190036,191609,193213,195141,196639,198169,199548,200945,202674,204751,207068,209183,211547,213506
395195,"Shreveport, LA",221540,221112,220911,221531,222756,223505,223222,223031,223600,225291,225474,225775,225682,228429,230429,232877,234442,236584,239775,242700,245281,247259,250628,253932,257362,259362
