RegionType,State,Name,FIPSCode,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,countyname_x,state_x,ssacounty_x,fipscounty_x,msa_x,l_x,msaname_x,cbsa_x,cbsaname_x,Region,countyname_y,state_y,ssacounty_y,fipscounty_y,msa_y,l_y,msaname_y,cbsa_y,cbsaname_y
County,IN,Hendricks County,18063,2.1,1.1,1.0,0.9,1.1,1.3,0.9,HENDRICKS,IN,15310,18063,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN",Midwest,HENDRICKS,IN,15310,18063,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN"
County,IN,Johnson County,18081,2.1,1.1,1.0,0.6,1.2,0.9,1.2,JOHNSON,IN,15400,18081,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN",Midwest,JOHNSON,IN,15400,18081,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN"
County,IN,Lake County,18089,2.3,1.5,1.2,1.0,1.2,1.1,1.0,LAKE,IN,15440,18089,2960.0,,"GARY, IN",23844.0,"Gary, IN  ivision",Midwest,LAKE,IN,15440,18089,2960.0,,"GARY, IN",23844.0,"Gary, IN  ivision"
County,IN,Marion County,18097,2.2,1.4,1.2,1.0,1.1,1.2,1.2,MARION,IN,15480,18097,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN",Midwest,MARION,IN,15480,18097,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN"
County,IN,Porter County,18127,1.8,1.3,1.1,1.1,1.1,1.1,1.0,PORTER,IN,15630,18127,2960.0,,"GARY, IN",23844.0,"Gary, IN  ivision",Midwest,PORTER,IN,15630,18127,2960.0,,"GARY, IN",23844.0,"Gary, IN  ivision"
County,IN,St. Joseph County,18141,2.2,1.7,0.8,0.9,0.7,0.7,1.0,ST. JOSEPH,IN,15700,18141,7800.0,,"SOUTH BEND, IN",43780.0,"South Bend-Mishawaka, IN-MI",Midwest,ST. JOSEPH,IN,15700,18141,7800.0,,"SOUTH BEND, IN",43780.0,"South Bend-Mishawaka, IN-MI"
County,IN,Tippecanoe County,18157,1.2,1.6,0.9,0.8,1.0,0.7,1.4,TIPPECANOE,IN,15780,18157,3920.0,,"LAFAYETTE, IN",29140.0,"Lafayette, IN",Midwest,TIPPECANOE,IN,15780,18157,3920.0,,"LAFAYETTE, IN",29140.0,"Lafayette, IN"
County,IN,Vanderburgh County,18163,1.7,1.4,1.4,1.2,1.3,1.5,1.1,VANDERBURGH,IN,15810,18163,2440.0,,"EVANSVILLE-HENDERSON, IN-KY",21780.0,"Evansville, IN-KY",Midwest,VANDERBURGH,IN,15810,18163,2440.0,,"EVANSVILLE-HENDERSON, IN-KY",21780.0,"Evansville, IN-KY"
County,IA,Johnson County,19103,0.8,0.6,0.8,0.3,0.6,0.9,0.7,JOHNSON,IA,16510,19103,3500.0,,"IOWA CITY, IA",26980.0,"Iowa City, IA",Midwest,JOHNSON,IA,16510,19103,3500.0,,"IOWA CITY, IA",26980.0,"Iowa City, IA"
County,IA,Linn County,19113,1.8,1.2,0.7,0.5,0.9,0.7,0.7,LINN,IA,16560,19113,1360.0,,"CEDAR RAPIDS, IA",16300.0,"Cedar Rapids, IA",Midwest,LINN,IA,16560,19113,1360.0,,"CEDAR RAPIDS, IA",16300.0,"Cedar Rapids, IA"
